Last name, First name, Institution
Li,Yao-Bin,"Chinese Academy of Sciences, Xiamen         "
Liang,Yufeng,Google Inc.
Lifshitz,Efrat,Technion - Israel Institute of Technology
Liu,Shi,Carnegie Institution for Science
Liu,Zhi,Shanghai Institute of Microsystem and Information Technology
Liu,Fu-Dong,University of Central Florida
Liu,Wenjing,University of Pennsylvania
Liyanage,Wipula,LANL
Louie,Steven,"University of California, Berkeley"
Lyu,Yingchun,Beijing National Laboratory for Condensed Matter Physics
Ma,Biwu,Florida State University
Ma,Guohong,Soochow University
Malavasi,Lorenzo,University of Pavia
Manhabosco,Taise,Universidade Federal de Ouro Preto
Mannebach,Ehren,Intel
Markurt,Toni,Leibniz-Institut fur Kristallzuchtung
Martin,Lane,"University of California, Berkeley"
Maserati,Lorenzo,"Istituto Italiano di Tecnologia, Milano         "
Masud,Jahangir,Missouri UST
Matos,Matheus,Universidade Federal de Ouro Preto
Mayers,Matthew,Columbia University
McClimon,John,University of Pennsylvania
McClintock,Luke,"University of California, Davis"
McCrone,Timothy,Georgia Institute of Technology
McGehee,Mike,University of Colorado
McKendry,Ian,Drexel University
Mei,Antonio,Cornell University
Meir,Itay,Technion - Israel Institute of Technology
Melander,Marko,University of Jyvaskyla
Middleton,Rox,"University of Cambridge, UK"
Militzer,Burkhard,"University of California, Berkeley"
Miller,Tim,ICFO institute of Photonic Sciences
Milner,Phillip,Cornell Univ
Miyata,Kiyoshi,Columbia University
Moraes,Elizane,Universidade Federal do Rio Grande do Sul
Nah,Sanghee,Korea Basic Science institute
Nakano,Aiichiro,USC
Nascimento,Regiane,Mackenzie Presbyterian University
Nath,Manashi,Missouri UST
Naylor,Carl,University of Pennsylvania
Nazar  ,Linda,University of Waterloo
Noyan,Mehmet,University of Pennsylvania
Nyby,Clara,Citrine
Odelius,Michael,Stockholm University
Okazaki,Makoto,retired
Owen,Jonathan,Columbia University
Paez,Galo,Binghamton Univ
Page,Katherine,Oak Ridge National Laboratory
