Last name, First name, Institution
Segre,Carlo,Illinois Institute of Technology
Seidler ,Gerald,University of Washington
Sellers,Diane,Texas A\&M Univ
Shahbazian-Yassar,Reza,Illinois Institute of Technology
Shamberger,Patrick,Texas A\&M Univ
Sharp,Ian,Technische Universitat Munchen
Sher,Meng-Ju,Wesleyan
Shih,Orion,"National Synchrotron Radiation Research Center, Taiwan        "
Shirley,Eric,NIST
Shivaram,Niranjan,Purdue University
Shu,Michael,Concepts NREC
Sie,Edbert,Facebook
Siegel,Donald,University of Michigan
Singh,Christopher,Binghamton Univ
Singh,Sujay,SUNY Buffalo
Singh,David,University of Missouri
Siwy,Zuzanna,UC Irvine
Sjostrom,T,LANL
Smirnov,AV,AMES
Smith, Jacob,NIST
Sokolowski-Tinten,Klaus,University of Duisberg-Essen
Song,Boao,Illinois Institute of Technology
Soriano,Leonardo,Universidad Autonoma de Madrid
Spencer,Ryan,UC Irvine
Srolovitz,David,University of Pennsylvania
Starrett,CE,LANL
Stavila,Vitalie,Sandia National Laboratories
Stocks,Malcolm     ,Oak Ridge National Laboratory
Stoumpos,Constantinos,University of Crete
Streller,Frank,University of Pennsylvania
Sun,Baoquan,Soochow University
Sun,Meiling,Wuhan Univ
Swallow,Jack,University of Liverpool
Talapin,Dmitri,U Chicago
Talin,Alec,Sandia National Laboratories
Tamblyn,Isaac,"University of Ontario, Canada"
Tang,Shao,Florida State University
Tellekamp,Brooks,Georgia Institute of Technology
Tilchin,Jenya,Technion - Israel Institute of Technology
Tirpak,Keith,Binghamton Univ
Todorov,Tchavdar  ,"Queen's University Belfast, UK"
Trinh,M. Tuan,Columbia University
Tsuneyuki,Shinji,U. Tokyo
Turner,John,NREL
Uejio,Janel,Intel Corp
Ullah,Rafi,Lahore University
Vajtai,Robert,Rice University
van Dijk-Moes,Relinde,University of Utrecht
