Last name, First name, Institution
Abramovitch,David,"University of California, Berkeley"
Agarwal,Rahul,University of Pennsylvania
Agarwal,Ritesh,University of Pennsylvania
Agrawal,Ankit,Quantumscape
Ajayan,Pulickel,Rice University
Al-Hashimi,Mohammed,Texas A\&M Univ at Qatar
Alivio,Theodore,Texas A\&M Univ
Allendorf,Mark,Sandia National Laboratories
Andrews,Justin,Texas A\&M Univ
Arroyave,Raymundo,Texas A\&M Univ
Artacho  ,Emilio,"nanoGUNE, Spain"
Asadi,Mohammad,Illinois Institute of Technology
Averitt,Richard,UC San Diego
Ayzner,Alexander,UC Santa Cruz
Bae,Leejin,Gwangju Institute of Science and Technology
Balicas,Luis,Florida State University
Banerjee,Sarbajit,Texas A\&M Univ
Banyas,Ella,"University of California, Berkeley"
Barak,Yahel,Technion - Israel Institute of Technology
Baranov,Dmitry ,Italian Institute of Technology
Barnes,Taylor,Virginia Tech
Baskin,Artem,NASA Ames
Batista,Ronaldo,Universidade Federal de Ouro Preto
Bazant,Martin,MIT
Bernasconi,Andrea,University of Pavia
Berry,Joel,University of Pennsylvania
Blöchl,Peter,University of Gottingen
Bodnarchuk,Maryna,ETH Zürich
Boschker,Jos,Leibniz-Institut fur Kristallzuchtung
Bourelle,Sean,"University of Cambridge, UK"
Braham,Erick,Texas A\&M Univ
Brown,Timothy,Texas A\&M Univ
Brus,Louis,Columbia University
Camp,Jeff,Facebook Inc
Cao,Linyou,North Carolina State University
Cao,Ting,University of Washington
Carmi,Rotem,Technion - Israel Institute of Technology
Caro,Alfredo,Los Alamos National Laboratory
Carpick,Robert,University of Pennsylvania
Ceperley,David,"University of Illinois, Urbana-Champaign"
Chacham,Helio,Universidade Federal de Minas Gerais
Chang,Lei,Nanyang Technological University
Chen,Wei,Illinois Institute of Technology
Chen,Wei-Ting,Missouri UST
Chen,Frank,Nanometrics
Chen,Jeng-Lung,"National Synchrotron Radiation Research Center, Taiwan        "
Chen,Long-Qing,Penn State
Chen,Jia-Yu,Xiamen University
