Last name, First name, Institution
Van Spronsen,Matthijs,Diamond Light Source
Vanmaekelbergh,Daniel,University of Utrecht
Veal,Tim,University of Liverpool
Velazquez,Jesus,"University of California, Davis"
Vila,Fernando,University of Washington
Villarreal,Ruben,Texas A\&M Univ
Vinson ,John,NIST
Wahila,Matthew,Binghamton Univ
Wang,Junling,Nanyang Technological University
Wang,Le,Nanyang Technological University
Wang,Fenggong,University of Maryland
Wangoh,Linda,Binghamton Univ
Wardlow,A,"AWE, UK"
Weber,William J.   ,Oak Ridge National Laboratory
Wei,Jialiang,Illinois Institute of Technology
Weidenbach,Alex,Georgia Institute of Technology
Welden,Alicia,QC Ware Corp.
Wen,Haidan,Argonne National Laboratory
Wexler,Robert,University of Pennsylvania
Whaley,Josh,Sandia National Laboratories
White,Mary Anne,Dalhousie University
White,James,Sandia National Laboratories
Whitman,Catherine,Dalhousie University
Widom,Michael,Carnegie Melon
Williams,Stanley,Texas A\&M Univ
Wood,Vanessa,ETH Zurich
Worku,Michael ,Florida State University
Wu,Jingjie,Rice University
Wuttig,Matthias,University of Aachen
Xiao,James,"University of Cambridge, UK"
Xie,Shao-Hua,University of Central Florida
Xu,Liang-Jin,Florida State University
Xu,Xiaodong,University of Washington
Xuan,Sunting,Louisiana State University
Yabana,Kazuhiro,University of Tsukuba
Yaffe,Omer,Weizmann Institute of Science
Yakobson,Boris,Rice University
Yan,Shishen,Shandong University
Yan,Yanfa,U. Toledo
Yang,Yang,Cornell University
Yang,Jing,University of Pennsylvania
You,Lu,Nanyang Technological University
Young,Steve M.,Naval Research Laboratory
Yu,Dong,"University of California, Davis"
Zaheer,Wasif,Texas A\&M Univ
Zajac,Marc,Argonne National Laboratory
Zalden,Peter, European XFEL
Zhang,Yanwen,Oak Ridge National Laboratory
