Last name, First name, Institution
Pao,Chih-Wen,"National Synchrotron Radiation Research Center, Taiwan        "
Parija,Abhishek,Intel Corp
Park,Yung Woo,Seoul National University
Parkin,William,University of Pennsylvania
Pascal,Tod,UC San Diego
Pimenta,Marcos,Columbia University
Piper,Louis,Warwick Univ
Polzin,Bryant,ANL
Price,Michael,"University of Cambridge, UK"
Prokopiou,Georgia,Weizmann Institute of Science
Qian,Xiaofeng,Texas A\&M
Qian,Xiaofeng,Texas A\&M Univ
Quashie,Edwin,Florida Agricultural and Mechanical University
Rabouw,Freddy,University of Utrecht
Ramanathan,Shriram,Purdue University
"Ramasesha, ",Krupa,Sandia National Laboratories
Rana,Jatinkumar,Binghamton Univ
Rappe,Andrew,University of Pennsylvania
Redmer,Ronald    ,"University of Rostock, Germany"
Regoutz,Anna,Imperial College London
Rehr,John,University of Washington
Reichman,David,Columbia University
Ren,Ming-Liang,University of Pennsylvania
Reyes-Lillo,Sebastian,Universidad Andres Bello
Rivett,Jasmine,"University of Cambridge, UK"
Rizzi,Valerio,"Queen's University Belfast, UK"
Rodolakis,Fanny,ANL
Roger,Falcone,University of California at Berkeley/Lawrence Berkeley Laboratory
Rondinelli,James,Northwestern
Rubio,Ángel,University of Hamburg
Rungger ,Ivan,"National Physical Laboratory, UK "
Rusydi,Andrivo,National University of Singapore
Sadowski,Jerzy,Brookhaven National Laboratory
Sakar,Soumyajit,Weizmann Institute of Science
Sambandamurthy,Ganapathy,SUNY Buffalo
Samolyuk,German,Oak Ridge National Laboratory
Sand,Andrea,Aalto University
Sanvito,Stefano,Trinity College Dublin
Sanz,Ana,Matias LBNL
Sato,Shunsuke,Max Planck Institute for the Structure and Dynamics of Matter
Saul,Andres,"Aix-Marseille University, Centre Interdisciplinaire de Nanoscience de Marseille, France"
Schaller,Richard,Northwestern
Schilcher,Maximilian,University of Regensburg
Schleife,Andre,"University of Illinois, Urbana-Champaign"
Schlom,Darrell,Cornell University
Schmidt,Daniel,National University of Singapore
Schultze,Martin,Ludwig Maximilians Universitat Munchen
See,Jennifer,Missouri UST
