Last name, First name, Institution
Handy,Joseph,Texas A\&M Univ
He,Qingquan,Florida State University
Himpsel,Franz,"University of Wisconsin, Madison "
Hone,James,Columbia
Hong,Jisook,Samsung
Horsfield,Andrew,"Imperial College, UK"
Howard,Sebastian,Binghamton Univ
Hu,Te, Facebook
Hu,Yongsheng,Beijing National Laboratory for Condensed Matter Physics
Hu,S.X.,Rochester University
Huber,Sebastiaan,EPFL
Hull,Trevor,Columbia University
Hutchinson,Max,Citrine
Isarov,Maya,Technion - Israel Institute of Technology
Islam,Saiful,University of Bath
Jeong,Sohee,Sungkyunkwan University
Johnson,Alan T. Charlie,University of Pennsylvania
Jones,Leanne,University of Liverpool
Jooss,Christian ,University of Gottingen
Kanatzidis,Mercouri,Northwestern University
Kang,Hojin,University of Pennsylvania
Kas,Josh,University of Washington
Kehayias,Christopher,University of Pennsylvania
Kent,Paul ,Oak Ridge National Laboratory
Kikkawa,James,University of Pennsylvania
Kim,Jung-Hyun,Ohio State Univ
Kim,Dongwook,Sungkyunkwan University
Kim,Sung-Wng,Sungkyunkwan University
Kim,Youngkuk,Sungkyunkwan University
Klebanoff,Leonard,Sandia National Laboratories
Kohanoff,Jorge,"Queen's University Belfast, UK"
Kondori,Alireza,Illinois Institute of Technology
Kostadinov,Alyssa,Technion - Israel Institute of Technology
Kovalenko,Maksym,ETH Zürich
Kronik,Leeor,Weizmann Institute of Science
Krook,Nadia,University of Pennsylvania
Kundu,Joyjit,IIT Hyderabad
Kuo,Yi-Hong,Adobe
Lackner ,Florian,Graz University of Technology
Lam,Royce,Intel Corp
Lawler,Keith,UNLV
Lee,Eungje,ANL
Lee,Wei-Cheng,Binghamton Univ
Lee,Tien-Lin,Diamond Light Source
Lee,Jeong-Woo,Gwangju Institute of Science and Technology
Leick,Noemi,NREL
Leone,Stephen ,"University of California, Berkeley"
Li,Hong,Beijing National Laboratory for Condensed Matter Physics
