#gpu	32ats	  72	  108	192		256		512		640
1	3.25	9.47	20.67	97.83	nono	nono	nono
2	2.77	6.47	11.81	32.76	nono	nono	nono
4	3.03	4.65	7.74	18.01	28.2	nono	nono
8	2.99	4.07	5.52	11.07	16.68	60.3	nono
12	nono	3.92	4.87	7.97	12.46	40.98	74.85
16	nono 	3.85	4.79	7.48	9.65	30.95	47.23
24	nono	nono	4.50	6.30	8.62	22.17	33.05
32	nono	nono	nono	5.87	7.40	16.79	24.57
64	nono	nono	nono	5.43	6.30	12.24	16.4
128	nono	nono	nono	nono	6.08	9.98	12.24
256	nono	nono	nono	nono	nono	9.08	11.03

