#Ngpus / Ncpu sockets	GPU	CPU	
2	3.276	7.06	2.155067155
4	1.801	4.518	2.50860633
8	1.107	3.868	3.494128275
12	0.797	3.856	4.838143036
16	0.748	3.968	5.304812834
24	0.63	3.764	5.974603175
32	0.587	nono
64	0.543	nono
